query_id,query,epsilon,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
0,What is the average LIMIT_BAL for clients aged 20?,0.8617224173568258,"""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP]."""
1,What is the average LIMIT_BAL for clients aged 25?,0.5370197253372814,"""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP]."""
2,What is the average LIMIT_BAL for clients aged 30?,0.25312319302722175,"""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP]."""
3,What is the average LIMIT_BAL for clients aged 35?,0.9145856197269706,"""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP]."""
4,What is the average LIMIT_BAL for clients aged 40?,1.0368546195518356,"""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP]."""
5,What is the average LIMIT_BAL for clients aged 45?,0.1,"""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP]."""
6,What is the average LIMIT_BAL for clients aged 50?,0.4216476246561033,"""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP]."""
7,What is the average LIMIT_BAL for clients aged 55?,0.23211822891717815,"""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP]."""
8,What is the average LIMIT_BAL for clients aged 60?,0.18273699254356746,"""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP]."""
9,What is the average LIMIT_BAL for clients aged 65?,0.23211822891717815,"""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]nan[/DP]."""
