query_id,query,epsilon,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
0,How many rows have p2 less than -0.64?,0.9145856197269706,"""The result is [DP]9066[/DP].""","""The result is 9066.47.""","""The result is 9070.0.""","""The result is 9064.31.""","""The result is 9067.0.""","""The result is [DP]999.9756[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.998[/DP].""","""The result is [DP]3.7957[/DP].""","""The result is [DP]880.2141[/DP].""","""The result is [DP]1000.0[/DP]."""
1,How many rows have g1 equal to 0.524?,0.25312319302722175,"""0""","""0""","""0""","""0""","""0""","""0.0""","""0.0""","""0.0087""","""4.2787""","""nan""","""0.0005"""
2,How many rows have g1 equal to 0.929?,0.9181457884751146,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 0.""","""The result is 5.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0009[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0283[/DP]."""
3,How many rows have g4 equal to 0.365?,0.4216476246561033,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 2.93.""","""The result is 13.0.""","""The result is [DP]0.0[/DP].""","""The result is [DP]857.039[/DP].""","""The result is [DP]0.0005[/DP].""","""The result is [DP]800.4669[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0181[/DP]."""
4,How many rows have tau4 equal to 5.93?,0.9189598761607718,"""The result is [DP]0[/DP].""","""The result is 0.29.""","""The result is 0.""","""The result is 6.9.""","""The result is 0.""","""The result is [DP]0.0748[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0047[/DP].""","""The result is [DP]13.1964[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0282[/DP]."""
5,How many rows have p3 less than -1.716?,0.8617224173568258,"""The result is [DP]1893[/DP].""","""The result is 1894.34.""","""The result is 1894.0.""","""The result is 1892.52.""","""The result is 1889.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9968[/DP].""","""The result is [DP]129.0727[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9985[/DP]."""
6,How many rows have p2 equal to -1.822?,0.5370197253372814,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 1.0.""","""The result is 0.""","""The result is 2.0.""","""The result is [DP]0.0048[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0029[/DP].""","""The result is [DP]0.3222[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP]."""
7,How many rows have g4 less than 0.87?,0.5370197253372814,"""The result is [DP]8632[/DP].""","""The result is 8636.54.""","""The result is 8632.0.""","""The result is 8648.1.""","""The result is 8627.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9959[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9724[/DP]."""
8,How many rows have g3 greater than 0.837?,1.0368546195518356,"""1716""","""1716""","""1716""","""1716""","""1716""","""1000.0""","""0.0""","""999.9994""","""2.2143""","""24.0147""","""999.9986"""
9,How many rows have g4 equal to 0.292?,1.0368546195518356,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 7.0.""","""The result is 0.""","""The result is [DP]0.0032[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0018[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0003[/DP]."""
10,How many rows have tau1 equal to 5.099?,0.9145856197269706,"""The result is [DP]0[/DP].""","""The result is 0.66.""","""The result is 0.""","""The result is 8.72.""","""The result is 13.0.""","""The result is [DP]0.0471[/DP].""","""The result is [DP]554.56[/DP].""","""The result is [DP]0.0011[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0015[/DP]."""
11,How many rows have tau3 greater than 4.178?,0.45188719028566016,"""6129""","""6129""","""6129""","""6129""","""6129""","""999.9951""","""0.0""","""999.9999""","""1000.0""","""nan""","""999.9995"""
