query_id,query,epsilon,true_answer,laplace_answer,discrete_laplace_answer,gaussian_answer,discrete_gaussian_answer,a1b1_result,a2b1_result,a3b1_result,a1b2_result,a2b2_result,a3b2_result
0,How many rows have p2 less than -0.64?,0.9145856197269706,"""9066""","""9066""","""9066""","""9066""","""9066""","""999.9939""","""0.0""","""999.9999""","""1000.0""","""0.0""","""999.9997"""
1,How many rows have g1 equal to 0.524?,0.25312319302722175,"""The result is [DP]0[/DP].""","""The result is 6.48.""","""The result is 0.""","""The result is 0.""","""The result is 6.0.""","""The result is [DP]51.6193[/DP].""","""The result is [DP]774.6242[/DP].""","""The result is [DP]0.001[/DP].""","""The result is [DP]997.2345[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0002[/DP]."""
2,How many rows have g1 equal to 0.929?,0.25312319302722175,"""The result is [DP]0[/DP].""","""The result is 7.2.""","""The result is 0.""","""The result is 0.""","""The result is 23.0.""","""The result is [DP]0.0184[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0015[/DP].""","""The result is [DP]0.0001[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0016[/DP]."""
3,How many rows have g4 equal to 0.365?,0.794007125837763,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 0.""","""The result is 0.""","""The result is [DP]6.2282[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.001[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0045[/DP]."""
4,How many rows have tau4 equal to 5.93?,0.23211822891717815,"""The result is [DP]0[/DP].""","""The result is 3.86.""","""The result is 0.""","""The result is 0.""","""The result is 27.0.""","""The result is [DP]0.0001[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.0003[/DP].""","""The result is [DP]997.628[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0001[/DP]."""
5,How many rows have p3 less than -1.716?,0.18273699254356746,"""The result is [DP]1893[/DP].""","""The result is 1889.92.""","""The result is 1893.0.""","""The result is 1875.77.""","""The result is 1865.0.""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9992[/DP].""","""The result is [DP]999.9969[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9844[/DP]."""
6,How many rows have p2 equal to -1.822?,0.4216476246561033,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 0.""","""The result is 0.""","""The result is 20.0.""","""The result is [DP]0.001[/DP].""","""The result is [DP]975.8696[/DP].""","""The result is [DP]0.0018[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0003[/DP]."""
7,How many rows have g4 less than 0.87?,0.7715746304029494,"""The result is [DP]8632[/DP].""","""The result is 8634.85.""","""The result is 8633.0.""","""The result is 8638.62.""","""The result is 8640.0.""","""The result is [DP]999.9476[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9993[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9999[/DP]."""
8,How many rows have g3 greater than 0.837?,0.1,"""The result is [DP]1716[/DP].""","""The result is 1739.66.""","""The result is 1716.0.""","""The result is 1674.64.""","""The result is 1672.0.""","""The result is [DP]999.5712[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]999.9988[/DP].""","""The result is [DP]1000.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]999.9992[/DP]."""
9,How many rows have g4 equal to 0.292?,0.5226303807974494,"""The result is [DP]0[/DP].""","""The result is 0.""","""The result is 3.0.""","""The result is 4.66.""","""The result is 0.""","""The result is [DP]0.0052[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]0.0002[/DP].""","""The result is [DP]0.0[/DP].""","""The result is [DP]nan[/DP].""","""The result is [DP]0.003[/DP]."""
